Filename,Class Label
bird_131173.png,0
pizza_019840.png,1
pizza_124983.png,1
bird_086698.png,0
screwdriver_026156.png,2
bird_036413.png,0
pizza_062624.png,1
screwdriver_066497.png,2
bird_112604.png,0
bird_007573.png,0
bird_022908.png,0
bird_041115.png,0
screwdriver_044330.png,2
bird_052403.png,0
pizza_107477.png,1
screwdriver_026919.png,2
pizza_075671.png,1
pizza_114130.png,1
screwdriver_081152.png,2
pizza_058984.png,1
pizza_114003.png,1
bird_124948.png,0
screwdriver_034657.png,2
pizza_126626.png,1
bird_118275.png,0
bird_030262.png,0
pizza_063240.png,1
bird_006277.png,0
bird_057527.png,0
bird_122939.png,0
screwdriver_014726.png,2
bird_063738.png,0
screwdriver_083812.png,2
bird_120923.png,0
bird_116450.png,0
screwdriver_115357.png,2
bird_123314.png,0
bird_128888.png,0
screwdriver_065613.png,2
pizza_056198.png,1
screwdriver_011213.png,2
bird_052690.png,0
screwdriver_069021.png,2
pizza_049986.png,1
bird_009208.png,0
pizza_043406.png,1
bird_042778.png,0
pizza_017237.png,1
pizza_003358.png,1
screwdriver_008427.png,2
bird_046598.png,0
screwdriver_016229.png,2
pizza_081900.png,1
screwdriver_080246.png,2
pizza_110425.png,1
screwdriver_000711.png,2
pizza_007160.png,1
pizza_092477.png,1
bird_089592.png,0
pizza_117070.png,1
bird_083983.png,0
bird_000080.png,0
pizza_012533.png,1
screwdriver_062588.png,2
screwdriver_112234.png,2
pizza_032694.png,1
bird_069034.png,0
pizza_019811.png,1
bird_031763.png,0
screwdriver_000399.png,2
screwdriver_076253.png,2
pizza_076880.png,1
screwdriver_037162.png,2
pizza_116931.png,1
screwdriver_108932.png,2
screwdriver_067269.png,2
pizza_068369.png,1
pizza_093519.png,1
pizza_067924.png,1
pizza_049661.png,1
pizza_014097.png,1
bird_092184.png,0
bird_055044.png,0
screwdriver_022240.png,2
pizza_073265.png,1
bird_020241.png,0
bird_038779.png,0
bird_073770.png,0
pizza_084599.png,1
bird_017997.png,0
pizza_086535.png,1
screwdriver_063923.png,2
pizza_002565.png,1
pizza_041762.png,1
pizza_115932.png,1
bird_122100.png,0
bird_107888.png,0
pizza_025521.png,1
bird_005080.png,0
screwdriver_044016.png,2
screwdriver_038953.png,2
bird_047397.png,0
screwdriver_110967.png,2
screwdriver_012800.png,2
pizza_041833.png,1
pizza_008814.png,1
pizza_060853.png,1
bird_057138.png,0
bird_121287.png,0
pizza_119994.png,1
screwdriver_050502.png,2
screwdriver_005798.png,2
bird_111327.png,0
screwdriver_063497.png,2
screwdriver_083260.png,2
pizza_071775.png,1
screwdriver_114529.png,2
pizza_121189.png,1
screwdriver_010719.png,2
bird_062163.png,0
screwdriver_031725.png,2
pizza_046551.png,1
pizza_098695.png,1
screwdriver_046755.png,2
pizza_021856.png,1
screwdriver_101220.png,2
pizza_022818.png,1
pizza_046059.png,1
pizza_047516.png,1
bird_000695.png,0
screwdriver_028550.png,2
pizza_014815.png,1
bird_046083.png,0
bird_031552.png,0
bird_012874.png,0
screwdriver_027729.png,2
pizza_113359.png,1
bird_012875.png,0
bird_100110.png,0
bird_062602.png,0
pizza_102648.png,1
screwdriver_083811.png,2
screwdriver_096105.png,2
screwdriver_057440.png,2
screwdriver_108080.png,2
bird_065843.png,0
screwdriver_044880.png,2
screwdriver_021731.png,2
screwdriver_035677.png,2
pizza_011271.png,1
screwdriver_065360.png,2
screwdriver_018577.png,2
pizza_001298.png,1
bird_025096.png,0
pizza_124688.png,1
pizza_039344.png,1
pizza_002079.png,1
bird_061013.png,0
bird_058481.png,0
bird_084898.png,0
pizza_009152.png,1
bird_065644.png,0
pizza_051904.png,1
screwdriver_030396.png,2
screwdriver_092725.png,2
bird_020490.png,0
screwdriver_066554.png,2
screwdriver_030025.png,2
pizza_127198.png,1
pizza_081476.png,1
pizza_095679.png,1
pizza_097667.png,1
screwdriver_101579.png,2
bird_042160.png,0
bird_050580.png,0
bird_073578.png,0
bird_128577.png,0
screwdriver_019036.png,2
pizza_081698.png,1
screwdriver_077513.png,2
screwdriver_067543.png,2
pizza_024199.png,1
screwdriver_063956.png,2
screwdriver_027061.png,2
bird_029580.png,0
bird_032881.png,0
screwdriver_002583.png,2
bird_086996.png,0
bird_104723.png,0
pizza_068190.png,1
bird_014990.png,0
pizza_027182.png,1
screwdriver_061431.png,2
bird_113827.png,0
screwdriver_017425.png,2
screwdriver_055773.png,2
pizza_003959.png,1
screwdriver_050251.png,2
bird_044961.png,0
pizza_119711.png,1
screwdriver_001128.png,2
pizza_062088.png,1
pizza_099246.png,1
screwdriver_004139.png,2
pizza_000060.png,1
bird_037599.png,0
screwdriver_053949.png,2
bird_081386.png,0
screwdriver_003902.png,2
bird_038812.png,0
screwdriver_085979.png,2
pizza_037489.png,1
pizza_047231.png,1
bird_128789.png,0
pizza_127205.png,1
screwdriver_040417.png,2
screwdriver_113115.png,2
screwdriver_095715.png,2
bird_076229.png,0
screwdriver_074326.png,2
bird_096448.png,0
bird_116195.png,0
bird_092688.png,0
bird_012262.png,0
screwdriver_045756.png,2
pizza_115698.png,1
screwdriver_113911.png,2
pizza_110918.png,1
screwdriver_023994.png,2
bird_105398.png,0
bird_042639.png,0
pizza_092980.png,1
screwdriver_097906.png,2
bird_118665.png,0
screwdriver_050343.png,2
bird_006575.png,0
pizza_099353.png,1
pizza_073262.png,1
screwdriver_108400.png,2
bird_054784.png,0
pizza_105964.png,1
pizza_118579.png,1
bird_069261.png,0
pizza_076998.png,1
pizza_108626.png,1
pizza_028668.png,1
screwdriver_080715.png,2
screwdriver_100313.png,2
bird_015135.png,0
bird_068541.png,0
bird_125713.png,0
pizza_090701.png,1
bird_096102.png,0
screwdriver_018366.png,2
pizza_050605.png,1
pizza_055445.png,1
bird_093718.png,0
bird_025315.png,0
bird_013062.png,0
screwdriver_042843.png,2
bird_047112.png,0
pizza_084263.png,1
bird_003378.png,0
screwdriver_047896.png,2
pizza_030179.png,1
screwdriver_073991.png,2
bird_033950.png,0
screwdriver_001471.png,2
pizza_049857.png,1
bird_051124.png,0
bird_020761.png,0
bird_083165.png,0
bird_015064.png,0
pizza_113565.png,1
bird_081489.png,0
screwdriver_009966.png,2
bird_107760.png,0
screwdriver_003515.png,2
bird_105645.png,0
pizza_105016.png,1
bird_015711.png,0
bird_053656.png,0
pizza_092791.png,1
bird_079606.png,0
bird_129687.png,0
screwdriver_084272.png,2
bird_031175.png,0
bird_001929.png,0
bird_033399.png,0
screwdriver_086764.png,2
bird_029688.png,0
bird_076798.png,0
bird_025881.png,0
bird_129081.png,0
pizza_093266.png,1
pizza_057913.png,1
pizza_049931.png,1
pizza_110208.png,1
screwdriver_043717.png,2
pizza_085130.png,1
pizza_016038.png,1
bird_067549.png,0
bird_084644.png,0
screwdriver_069762.png,2
pizza_041648.png,1
screwdriver_065753.png,2
screwdriver_051223.png,2
pizza_056749.png,1
screwdriver_101620.png,2
screwdriver_020296.png,2
screwdriver_077336.png,2
screwdriver_072358.png,2
pizza_025844.png,1
screwdriver_011766.png,2
bird_016909.png,0
bird_127398.png,0
pizza_075752.png,1
bird_007162.png,0
